ProductID,ProductName,Category,SubCategory,Brand,CostPrice
1,Adidas Jacket,Fashion,Women,Adidas,17377.04
2,Wireless Headphones,Electronics,Headphones,Sony,42621.49
3,Women's Kurti,Fashion,Women,Biba,25850.5
4,Cricket Bat,Sports,Cricket,SS,42031.72
5,Coffee Table,Home,Decor,Ikea,43417.75
6,Women's Kurti,Fashion,Women,Biba,9597.8
7,Sofa Set,Home,Furniture,Ikea,9441.19
8,Kids T-Shirt,Fashion,Kids,Puma,29904.49
9,Puma T-Shirt,Fashion,Men,Puma,35463.06
10,Men's Hoodie,Fashion,Men,Nike,33127.39
11,Kids Shoes,Fashion,Kids,Nike,38249.61
12,Nike Running Shoes,Fashion,Men,Nike,40420.15
13,Adidas Jacket,Fashion,Women,Adidas,19748.21
14,Dining Table,Home,Furniture,Ikea,
15,OnePlus 13,Electronics,Mobile,OnePlus,45452.6
16,Women's Kurti,Fashion,Women,Biba,44709.76
17,Cricket Bat,Sports,Cricket,SS,45757.57
18,Football,Sports,Football,Nivia,29957.6
19,Dining Table,Home,Furniture,Ikea,43386.05
20,Tennis Racket,Sports,Fitness,Yonex,14426.37
21,Tennis Racket,Sports,Fitness,Yonex,26197.01
22,Kids T-Shirt,Fashion,Kids,Puma,40725.02
23,Dell Inspiron Laptop,Electronics,Laptop,Dell,34637.02
24,Cookware Set,Home,Kitchen,Prestige,36277.43
25,Puma T-Shirt,Fashion,Men,Puma,37557.5
26,Women's Kurti,Fashion,Women,Biba,1558.3
27,Levis Jeans,Fashion,Men,Levis,29656.03
28,Sony Bravia TV,Electronics,TV,Sony,38454.61
29,Cricket Bat,Sports,Cricket,SS,25654.01
30,Puma T-Shirt,Fashion,Men,Puma,18695.06
31,Galaxy S24,Electronics,Mobile,Samsung,29116.09
32,Cookware Set,Home,Kitchen,Prestige,3618.69
33,OnePlus 13,Electronics,Mobile,OnePlus,38884.4
34,Coffee Table,Home,Decor,Ikea,3019.33
35,LG Smart TV,Electronics,TV,LG,20506.76
36,Wireless Headphones,Electronics,Headphones,Sony,6109.55
37,OnePlus 13,Electronics,Mobile,OnePlus,6495.33
38,Sony Bravia TV,Electronics,TV,Sony,46842.33
39,Dining Table,Home,Furniture,Ikea,46784.14
40,Puma T-Shirt,Fashion,Men,Puma,40518.76
41,Football,Sports,Football,Nivia,22207.52
42,Kids T-Shirt,Fashion,Kids,Puma,44558.98
43,Study Chair,Home,Furniture,Godrej,38094.01
44,HP Pavilion Laptop,Electronics,Laptop,HP,29836.57
45,Dell Inspiron Laptop,Electronics,Laptop,Dell,
46,Galaxy S24,Electronics,Mobile,Samsung,45147.78
47,Dining Table,Home,Furniture,Ikea,33882.6
48,Wall Decor,Home,Decor,Home Centre,6937.89
49,Wireless Headphones,Electronics,Headphones,Sony,48187.72
50,Women's Kurti,Fashion,Women,Biba,46774.38
51,Tennis Racket,Sports,Fitness,Yonex,43729.27
52,Kitchen Rack,Home,Kitchen,Prestige,18083.22
53,Levis Jeans,Fashion,Men,Levis,22745.34
54,LG Smart TV,Electronics,TV,LG,42442.15
55,Coffee Table,Home,Decor,Ikea,39345.82
56,Kids Shoes,Fashion,Kids,Nike,42727.71
57,Puma T-Shirt,Fashion,Men,Puma,21611.92
58,iPhone 15,Electronics,Mobile,Apple,48829.86
59,Wireless Headphones,Electronics,Headphones,Sony,30044.98
60,Wall Decor,Home,Decor,Home Centre,1003.3
61,Levis Jeans,Fashion,Men,Levis,49916.96
62,Sofa Set,Home,Furniture,Ikea,32587.65
63,Football,Sports,Football,Nivia,8769.37
64,Women's Kurti,Fashion,Women,Biba,3227.72
65,Cricket Bat,Sports,Cricket,SS,9971.84
66,Men's Hoodie,Fashion,Men,Nike,13520.75
67,Men's Hoodie,Fashion,Men,Nike,6699.2
68,Coffee Table,Home,Decor,Ikea,23048.4
69,Levis Jeans,Fashion,Men,Levis,22193.31
70,Wall Decor,Home,Decor,Home Centre,361.16
71,Cookware Set,Home,Kitchen,Prestige,49921.81
72,OnePlus 13,Electronics,Mobile,OnePlus,36229.27
73,Dumbbell Set,Sports,Fitness,Decathlon,23111.83
74,Cricket Bat,Sports,Cricket,SS,20473.85
75,Dell Inspiron Laptop,Electronics,Laptop,Dell,24731.75
76,Dell Inspiron Laptop,Electronics,Laptop,Dell,42765.67
77,Tennis Racket,Sports,Fitness,Yonex,25093.32
78,Football,Sports,Football,Nivia,27428.91
79,Women's Kurti,Fashion,Women,Biba,39780.72
80,Wireless Headphones,Electronics,Headphones,Sony,3870.65
81,Yoga Mat,Sports,Fitness,Cult,36244.14
82,Dumbbell Set,Sports,Fitness,Decathlon,660.04
83,OnePlus 13,Electronics,Mobile,OnePlus,34553.29
84,Nike Running Shoes,Fashion,Men,Nike,8418.68
85,Sony Bravia TV,Electronics,TV,Sony,33449.83
86,Cookware Set,Home,Kitchen,Prestige,16161.67
87,Men's Hoodie,Fashion,Men,Nike,14169.19
88,Wireless Headphones,Electronics,Headphones,Sony,41378.0
89,Kids T-Shirt,Fashion,Kids,Puma,15994.39
90,Kitchen Rack,Home,Kitchen,Prestige,39626.16
91,iPhone 15,Electronics,Mobile,Apple,49069.65
92,Dumbbell Set,Sports,Fitness,Decathlon,19099.74
93,Sofa Set,Home,Furniture,Ikea,22441.91
94,Levis Jeans,Fashion,Men,Levis,45211.54
95,Dining Table,Home,Furniture,Ikea,5875.82
96,Kids T-Shirt,Fashion,Kids,Puma,36616.23
97,Yoga Mat,Sports,Fitness,Cult,3564.56
98,Cookware Set,Home,Kitchen,Prestige,-32463.05
99,Coffee Table,Home,Decor,Ikea,40380.42
100,Kids T-Shirt,Fashion,Kids,Puma,8830.37
101,LG Smart TV,Electronics,TV,LG,11946.47
102,Tennis Racket,Sports,Fitness,Yonex,31189.01
103,Adidas Jacket,Fashion,Women,Adidas,11069.53
104,Men's Hoodie,Fashion,Men,Nike,21193.38
105,OnePlus 13,Electronics,Mobile,OnePlus,34362.85
106,Dumbbell Set,Sports,Fitness,Decathlon,32521.32
107,Kids Shoes,Fashion,Kids,Nike,3786.23
108,Puma T-Shirt,Fashion,Men,Puma,21673.76
109,HP Pavilion Laptop,Electronics,Laptop,HP,18467.01
110,Kids T-Shirt,Fashion,Kids,Puma,6287.77
111,Sofa Set,,Furniture,Ikea,16645.43
112,Sofa Set,Home,Furniture,Ikea,8561.66
113,Dumbbell Set,Sports,Fitness,Decathlon,254.46
114,Puma T-Shirt,Fashion,Men,Puma,1692.26
115,Cookware Set,Home,Kitchen,Prestige,42612.95
116,Wireless Headphones,Electronics,Headphones,Sony,27169.47
117,Puma T-Shirt,Fashion,Men,Puma,44251.34
118,Football,Sports,Football,Nivia,39487.49
119,Sony Bravia TV,Electronics,TV,Sony,25603.81
120,Football,Sports,Football,Nivia,12345.57
121,Sony Bravia TV,Electronics,TV,Sony,39374.7
122,Wireless Headphones,Electronics,Headphones,Sony,28770.1
123,Wall Decor,Home,Decor,Home Centre,2973.3
124,Wireless Headphones,Electronics,Headphones,Sony,10581.23
125,Cookware Set,Home,Kitchen,Prestige,12605.72
126,Study Chair,Home,Furniture,Godrej,37556.9
127,iPhone 15,Electronics,Mobile,Apple,23901.23
128,Nike Running Shoes,Fashion,Men,Nike,16417.14
129,Study Chair,Home,Furniture,Godrej,15614.15
130,Sony Bravia TV,Electronics,TV,Sony,5694.98
131,Cricket Bat,Sports,Cricket,SS,30652.34
132,Tennis Racket,Sports,Fitness,Yonex,41063.6
133,Coffee Table,Home,Decor,Ikea,46035.58
134,Levis Jeans,Fashion,Men,Levis,25739.7
135,Kitchen Rack,Home,Kitchen,Prestige,29669.15
136,Coffee Table,Home,Decor,Ikea,47779.86
